"Forsyningsbalance, bruttonationalprodukt (BNP),økonomisk vækst,"
"beskæftigelse mv. efter prisenhed, transaktion og tid"

" "," ","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"2010-priser, kædede værdier, (mia. kr.)"
" ","B.1*g Bruttonationalprodukt, BNP",1677.2,1691.0,1698.9,1705.5,1751.0,1792.0,1862.1,1879.0,1869.4,1777.7,1810.9,1835.1,1839.3,1856.5,1886.5,1930.7,1993.4,2049.6,2090.4,2121.6,2070.2,2211.9,2272.3,2315.2
" ","P.7 Import af varer og tjenester",548.7,561.9,597.7,591.6,633.8,705.3,803.9,850.8,891.4,784.9,789.1,847.9,870.9,883.7,918.1,960.0,995.1,1036.8,1089.6,1122.4,1091.1,1187.3,1264.5,1372.8
" ","P.6 Eksport af varer og tjenester",696.9,720.3,751.7,742.7,765.1,824.2,909.4,942.6,979.1,888.8,914.9,980.8,992.2,1008.1,1039.7,1076.9,1121.2,1175.1,1214.5,1269.3,1191.8,1283.3,1422.4,1613.2
" ","P.31 Privatforbrug",752.6,754.3,765.2,775.4,811.5,841.5,866.3,881.6,885.9,855.5,862.2,864.6,869.0,871.5,879.4,899.5,921.2,942.3,975.2,990.6,977.0,1030.5,1015.7,1026.3
" ","P.3 Offentlige forbrugsudgifter",412.2,420.0,429.0,430.0,436.6,441.8,453.1,458.5,473.4,487.8,495.6,492.5,496.2,495.7,505.3,513.8,514.6,519.1,519.2,523.6,514.5,538.2,523.2,523.5
" ","P.5g Bruttoinvesteringer",348.2,343.0,338.9,336.6,359.4,379.3,427.7,439.1,418.0,329.3,327.3,345.2,353.1,365.1,380.8,400.7,431.2,449.4,468.9,458.8,475.2,543.4,567.6,498.2

"Kædede værdier er ikke direkte additive. Ved kædede værdier kan man "
"ikke danne totaler ved simpel sammenlægning af delkomponenter. Det er "
"nødvendigt at bruge en særlig formel, som beskrevet på "
"https://www.dst.dk/ext/national/NR-DOK. "

